station,number_of_events,sampling_rate,component_availability,response_applied,response_failed,median_distance_km,min_distance_km,max_distance_km,median_snr_peak_hhz,min_snr_peak_hhz,median_trigger_latency_s,n_false_trigger_candidates,n_no_trigger,unusual_flag
ACB,2,200,"HHZ,HHN,HHE",2,0,103.21050384252263,103.19573933075968,103.22526835428556,194.02464023285225,191.1995226327301,-2.3716939999999997,2,0,
AIGLE,1,200,"HHZ,HHN,HHE",1,0,58.84228431864658,58.84228431864658,58.84228431864658,49.13172336349593,49.13172336349593,-0.555987,1,0,low_median_snr
BALST,4,200,"HHZ,HHN,HHE",4,0,57.37991120124994,10.579675152983766,58.63511429306463,111.87622910703081,6.340754548102066,4.184488,4,0,
BERGE,2,200,"HHZ,HHN,HHE",2,0,58.11371098157409,56.84210539873904,59.385316564409145,1357.8556588627994,80.77949607105492,-3.283282,2,0,
BERNI,2,200,"HHZ,HHN,HHE",2,0,71.81008387223272,54.093186131995374,89.52698161247008,428.7704902639703,64.79574208245103,3.3278625,2,0,
BNALP,5,200,"HHZ,HHN,HHE",5,0,56.69355463567906,52.60595695133219,161.79418236846854,189.5216754237451,27.706723995327767,-0.453892,5,0,
BOURR,1,200,"HHZ,HHN,HHE",1,0,64.87807300731475,64.87807300731475,64.87807300731475,792.2759868617899,792.2759868617899,-1.942872,1,0,
BRANT,1,200,"HHZ,HHN,HHE",1,0,110.15501995029604,110.15501995029604,110.15501995029604,13.926653789653075,13.926653789653075,4.115525,1,0,low_median_snr
CHAMB,1,200,"HHZ,HHN,HHE",1,0,11.572699944329225,11.572699944329225,11.572699944329225,2871.7491568866994,2871.7491568866994,-2.628885,1,0,
CHASS,3,200,"HHZ,HHN,HHE",3,0,28.155070542953457,28.11629815476992,100.56628013269518,138.86438198014716,5.061667904378784,1.183451,3,0,
DAGMA,1,200,"HHZ,HHN,HHE",1,0,32.95800108566749,32.95800108566749,32.95800108566749,16.153295575539637,16.153295575539637,6.237036,1,0,low_median_snr
DAVOX,2,200,"HHZ,HHN,HHE",2,0,50.48702449967283,50.28960971351702,50.684439285828645,418.1315981918462,400.2976668812455,1.5953625,2,0,
DIX,2,200,"HHZ,HHN,HHE",2,0,9.947876924215407,6.134120222502586,13.76163362592823,21604.33458670434,865.4174322894461,-1.2419275,2,0,
EMBD,2,120,"HHZ,HHN,HHE",2,0,10.528567622398544,9.272946979138798,11.784188265658289,1083.0067517954726,943.063238027275,-3.906314,2,0,
FIESA,4,200,"HHZ,HHN,HHE",4,0,25.42747097417265,22.507007710652825,159.85039852808333,711.1487956246931,40.01782434029579,-2.409139,4,0,
FUORN,1,200,"HHZ,HHN,HHE",1,0,25.346194055327118,25.346194055327118,25.346194055327118,1487.1340995603948,1487.1340995603948,4.241956,1,0,
FUSIO,1,200,"HHZ,HHN,HHE",1,0,103.34263096790636,103.34263096790636,103.34263096790636,39.93621398942888,39.93621398942888,8.469013,1,0,low_median_snr
GIMEL,3,200,"HHZ,HHN,HHE",3,0,105.67153326592592,100.75283150278122,113.78370200601944,159.3550871208296,39.58879735481737,0.764013,3,0,
GRYON,1,200,"HHZ,HHN,HHE",1,0,104.78602473773158,104.78602473773158,104.78602473773158,678.5413986563434,678.5413986563434,-2.802499,1,0,
HASLI,4,120;200,"HHZ,HHN,HHE",4,0,81.62910272639246,23.364960064133506,105.73864637516054,884.3950982657095,341.63094910883467,-0.9997020000000001,4,0,
